Mode, Direction, D [mm], U [cm/s], h/d, Cd, Delta h [mm]
Experiment, --, 12.7, 26.22, 5.310786e-01, --, 1.991811e+00
Experiment, --, 12.7, 26.22, 5.528944e-01, --, 1.929999e+00
Experiment, --, 12.7, 26.22, 5.723229e-01, --, 1.751509e+00
Experiment, --, 12.7, 26.22, 5.884956e-01, --, 2.010243e+00
Experiment, --, 12.7, 26.22, 6.053633e-01, --, 2.070697e+00
Experiment, --, 12.7, 26.22, 6.322921e-01, --, 2.071778e+00
Experiment, --, 12.7, 26.22, 6.511641e-01, --, 1.813202e+00
Experiment, --, 12.7, 26.22, 6.720050e-01, --, 1.985564e+00
Experiment, --, 12.7, 26.22, 6.946784e-01, --, 1.968849e+00
Experiment, --, 12.7, 26.22, 7.113883e-01, --, 2.398171e+00
Experiment, --, 12.7, 26.22, 7.335478e-01, --, 2.002256e+00
Experiment, --, 12.7, 26.22, 7.495285e-01, --, 2.288138e+00
Experiment, --, 12.7, 26.22, 7.686529e-01, --, 2.209026e+00
Experiment, --, 12.7, 26.22, 7.869419e-01, --, 2.375010e+00
Experiment, --, 12.7, 26.22, 8.041620e-01, --, 2.464049e+00
Experiment, --, 12.7, 26.22, 8.274943e-01, --, 2.623498e+00
Experiment, --, 12.7, 26.22, 8.364274e-01, --, 2.424258e+00
Experiment, --, 12.7, 26.22, 8.870203e-01, --, 2.637916e+00
Experiment, --, 12.7, 26.22, 9.182041e-01, --, 2.940799e+00
Experiment, --, 12.7, 26.22, 9.537274e-01, --, 3.167351e+00
Simulation, --, 12.7, 26.22, 2.500000e-01, --, 1.402260e+00
Simulation, --, 12.7, 26.22, 5.000000e-01, --, 2.344220e+00
Simulation, --, 12.7, 26.22, 6.250000e-01, --, 2.861310e+00
Simulation, --, 12.7, 26.22, 7.500000e-01, --, 3.170340e+00
Simulation, --, 12.7, 26.22, 8.750000e-01, --, 2.862380e+00
